ITEM_SEQ,DRUG_NAME,COMPANY,CLASS_NAME,ETC_OTC_NAME,FORM_CODE,DRUG_SHAPE,COLOR_CLASS1,PRINT_FRONT,PRINT_BACK,MARK_CODE,CHART,IMAGE_URL,EE_DOC,UD_DOC,NB_DOC
200900823,가스파플러스정,(주)일화,소화성궤양용제,OTC,필름코팅정,원형,연두,IHP,G+,,녹색 내지 연녹색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800050,,,
200900833,마이칼디정,명문제약(주),칼슘제,OTC,필름코팅정,장방형,주황,MM분할선D,,,황갈색의 장방형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800053,,,
200900844,모빅캡슐7.5밀리그램(멜록시캄),한국베링거인겔하임(주),해열.진통.소염제,ETC,"경질캡슐제, 산제",장방형,초록,Mobic 7.5mg,,,"노란색 가루가 든 상,하 밝은 초록색 캡슐",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Opnl07NLZB,,,
200900845,모빅캡슐15밀리그램(멜록시캄),한국베링거인겔하임(주),해열.진통.소염제,ETC,"경질캡슐제, 산제",장방형,초록,Mobic 15mg,,,"노란색 가루가 든 상부 밝은 초록색, 하부 노란색 캡슐",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oa2BrqwGD-,,,
200901014,코큐렉스연질캡슐,(주)알피바이오,기타의 비타민제,OTC,"연질캡슐제, 현탁상",장방형,검정,RPCQR,,,황갈색의 내용물을 함유한 암갈색의 장방형 연질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800062,,,
200901073,발크로버정500밀리그램(발라시클로비르염산염수화물),환인제약(주),기타의 화학요법제,ETC,필름코팅정,장방형,하양,VAL,W분할선I,,흰색의 양면이 볼록한 장방형의 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200040,,,
200901148,엔에이피정(나프록센나트륨),한솔신약(주),해열.진통.소염제,OTC,필름코팅정,타원형,파랑,T21,,,연한 파란색의 타원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800080,,,
200901177,메디헤모연질캡슐,동화약품(주),무기질제제,OTC,"연질캡슐제, 현탁상",장방형,갈색,D-W MH,,,갈색의 유상 내용물을 함유한 암갈색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000003,,,
200901187,이지에스정(방기황기탕건조엑스),주식회사 제이비케이랩,해열.진통.소염제,OTC,필름코팅정,원형,자주,INS,,,분홍색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500115,,,
200901205,제일아노민정,제일약품(주),기타의 자양강장변질제,OTC,필름코팅정,장방형,빨강,JI ΛN,,,진한갈 색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100146,,,
200902918,오렉스캡슐,(주)휴온스생명과학,기타의 중추신경용약,OTC,"경질캡슐제, 산제",장방형,빨강,BTO ORX,,,분홍색분말이 들어있는 상하부 적색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400062,,,
200902983,선콜정,한솔신약(주),해열.진통.소염제,OTC,필름코팅정,장방형,분홍,T37,,,연분홍색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400068,,,
200903022,베리콜노즈정,삼천당제약(주),해열.진통.소염제,OTC,필름코팅정,장방형,분홍,분할선,SCD,,장방형의 분홍색 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400071,,,
200903023,마그놀정,(주)제뉴파마,"하제, 완장제",OTC,"정제, 미분류",타원형,하양,BPMA,,,흰색의 타원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400074,,,
200903040,덴티콤캡슐,천우신약(주),치과구강용약,OTC,"캡슐, 미분류",장방형,파랑,SNP DTC,,,"짙은 청록색 가루가 든 상부 담청색, 하부 담청색의 경질캡슐제",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400077,,,
200903043,리버파워포르테연질캡슐,아이큐어(주),간장질환용제,OTC,"연질캡슐제, 현탁상",장방형,초록,SC200,,,황갈색의 내용물을 함유한 황녹색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400080,,,
200903044,본렉스이알캡슐15밀리그램(시클로벤자프린염산염),(주)새한제약,골격근이완제,ETC,"서방성캡슐제, 펠렛",장방형,주황,Bonelax ER 15mg,,,흰색 내지 미백색의 구형 입자가 들어있는 상·하부 밝은 주황색의 불투명 서방성 경질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Me1jz_9pfx,,,
200903045,본렉스이알캡슐30밀리그램(시클로벤자프린염산염),(주)새한제약,골격근이완제,ETC,"서방성캡슐제, 펠렛",장방형,빨강,Bonelax ER 30mg,,,"흰색 내지 미백색의 구형 입자가 들어있는 상부 빨강색, 하부 진한 파랑색의 불투명 서방성 경질캡슐",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mdm43vUUC-,,,
200903055,오메코프정,(주)에이프로젠바이오로직스,해열.진통.소염제,OTC,필름코팅정,원형,하양,SCP,OC,,흰색의 원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400089,,,
200903065,산도스올란자핀정10밀리그램,삼일제약(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,10,,흰색의 원형 필름코팅 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF873,,,
200903066,올란프레서정10mg(올란자핀),한국노바티스(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,10,,흰색의 원형 필름코팅 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400099,,,
200903067,산도스올란자핀정5밀리그램,삼일제약(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,5,,흰색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF86T,,,
200903068,올란프레서정5mg (올란자핀),한국노바티스(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,5,,흰색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400107,,,
200903078,산도스올란자핀정2.5밀리그램,삼일제약(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,2.5,,흰색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MeM47xF85t,,,
200903080,올란프레서정2.5mg (올란자핀),한국노바티스(주),정신신경용제,ETC,필름코팅정,원형,하양,SZ,2.5,,흰색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400122,,,
200903183,센트룸실버정,한국화이자제약(주),20091110,3160,일반의약품,SELECT,W분할선2,"다른쪽 면에는 ”SELECT\""가 각각 새겨져 있다.""",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MwITgp4WIn,,이 약은 회색의 타원형 필름코팅정으로 한쪽 면에는 왼쪽에 “W\,,,,
200903210,헤파피스연질캡슐,(주)에이프로젠바이오로직스,간장질환용제,OTC,"연질캡슐제, 현탁상",장방형,연두,CGP HP,,,황갈색의 유상내용물을 함유한 황녹색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148604072451200094,,,
200903217,메펜연질캡슐(메페남산),한솔신약(주),해열.진통.소염제,ETC,"연질캡슐제, 현탁상",장방형,파랑,메펜,,,연한 청색 내용물을 함유한 청색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400143,,,
200903247,센타민플러스연질캡슐,(주)알피바이오,기타의 비타민제,OTC,"연질캡슐제, 현탁상",장방형,갈색,RPSTM,,,주황색의 내용물을 포함한 갈색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400155,,,
200903378,헤모퀸골드캡슐,경남제약(주),무기질제제,OTC,"경질캡슐제, 산제",장방형,갈색,KN HQ,,,갈색의 분말이 충진된 상·하부 적갈색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6KEQ,,,
200903392,제로민연질캡슐(디펜히드라민염산염),한솔신약(주),최면진정제,OTC,"연질캡슐제, 액상",타원형,"청록, 투명",제로민,,,무색 내지 연한 청록색의 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400164,,,
200903395,비나코연질캡슐,한솔신약(주),해열.진통.소염제,OTC,"연질캡슐제, 액상",장방형,"파랑, 투명",비나코,,,미황 내지 연한 청색의 투명한 액상 내용물이 든 청색의 투명한 장방형의 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400167,,,
200903409,리피다운캡슐120밀리그램(오르리스타트),한미약품(주),따로 분류되지 않는 대사성 의약품,ETC,"경질캡슐제, 과립제",장방형,파랑,Hanmi Lipidown 120,,,흰색 내지 연한노란색의 펠렛이 든 청록색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900057,,,
200903482,비오펜연질캡슐(덱시부프로펜),(주)동구바이오제약,해열.진통.소염제,OTC,"연질캡슐제, 액상",타원형,초록,DCD,,,무색 내지 연한 녹색의 투명한 액상 내용물을 함유한 녹색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195,,,
200903579,카이로정,한솔신약(주),진경제,OTC,필름코팅정,장방형,하양,T32,분할선,,흰색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1,,,
200903580,덴탈에프정(옥수수불검화정량추출물),한솔신약(주),치과구강용약,OTC,당의정,원형,주황,T-32,,,주황색의 원형 당의정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142,,,
200903585,마이에신캡슐(은교산),한솔신약(주),해열.진통.소염제,OTC,"경질캡슐제, 산제",장방형,갈색,마이에신 마이에신,,,"갈색의 분말이 충진된 상부 갈색, 하부 백색의 경질캡슐제",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772284000000,,,
200901403,미카몰정,한솔신약(주),골격근이완제,ETC,필름코팅정,장방형,하양,T23,MT,,흰색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800116,,,
